Datetime,Temperature,Hour
2025-01-01T00:00:00,14,1
2025-01-01T01:00:00,14,2
2025-01-01T02:00:00,14,3
2025-01-01T03:00:00,14,4
2025-01-01T04:00:00,14.1,5
2025-01-01T05:00:00,14,6
2025-01-01T06:00:00,13.3,7
2025-01-01T07:00:00,13,8
2025-01-01T08:00:00,14,9
2025-01-01T09:00:00,14,10
2025-01-01T10:00:00,14,11
2025-01-01T11:00:00,14.3,12
2025-01-01T12:00:00,15,13
2025-01-01T13:00:00,15,14
2025-01-01T14:00:00,15,15
2025-01-01T15:00:00,14.1,16
2025-01-01T16:00:00,15,17
2025-01-01T17:00:00,15,18
2025-01-01T18:00:00,13.1,19
2025-01-01T19:00:00,13.1,20
2025-01-01T20:00:00,14,21
2025-01-01T21:00:00,14,22
2025-01-01T22:00:00,14,23
2025-01-01T23:00:00,14,24
2025-01-02T00:00:00,14,25
2025-01-02T01:00:00,14,26
2025-01-02T02:00:00,14,27
2025-01-02T03:00:00,14,28
2025-01-02T04:00:00,14,29
2025-01-02T05:00:00,14,30
2025-01-02T06:00:00,14,31
2025-01-02T07:00:00,14,32
2025-01-02T08:00:00,14,33
2025-01-02T09:00:00,14,34
2025-01-02T10:00:00,15,35
2025-01-02T11:00:00,16,36
2025-01-02T12:00:00,17,37
2025-01-02T13:00:00,17,38
2025-01-02T14:00:00,17,39
2025-01-02T15:00:00,18,40
2025-01-02T16:00:00,18,41
2025-01-02T17:00:00,18.1,42
2025-01-02T18:00:00,19,43
2025-01-02T19:00:00,18,44
2025-01-02T20:00:00,17.1,45
2025-01-02T21:00:00,17,46
2025-01-02T22:00:00,17,47
2025-01-02T23:00:00,17,48
2025-01-03T00:00:00,17,49
2025-01-03T01:00:00,16.1,50
2025-01-03T02:00:00,17,51
2025-01-03T03:00:00,17,52
2025-01-03T04:00:00,16.1,53
2025-01-03T05:00:00,16.1,54
2025-01-03T06:00:00,16.1,55
2025-01-03T07:00:00,17,56
2025-01-03T08:00:00,17,57
2025-01-03T09:00:00,16,58
2025-01-03T10:00:00,17,59
2025-01-03T11:00:00,18,60
2025-01-03T12:00:00,19,61
2025-01-03T13:00:00,21.1,62
2025-01-03T14:00:00,21,63
2025-01-03T15:00:00,21,64
2025-01-03T16:00:00,20,65
2025-01-03T17:00:00,20,66
2025-01-03T18:00:00,16,67
2025-01-03T19:00:00,14.1,68
2025-01-03T20:00:00,14,69
2025-01-03T21:00:00,14,70
2025-01-03T22:00:00,14,71
2025-01-03T23:00:00,14,72
2025-01-04T00:00:00,14,73
2025-01-04T01:00:00,14,74
2025-01-04T02:00:00,14,75
2025-01-04T03:00:00,13.1,76
2025-01-04T04:00:00,13.1,77
2025-01-04T05:00:00,13.1,78
2025-01-04T06:00:00,14,79
2025-01-04T07:00:00,13,80
2025-01-04T08:00:00,14,81
2025-01-04T09:00:00,14,82
2025-01-04T10:00:00,14,83
2025-01-04T11:00:00,14,84
2025-01-04T12:00:00,14,85
2025-01-04T13:00:00,15,86
2025-01-04T14:00:00,16,87
2025-01-04T15:00:00,16.1,88
2025-01-04T16:00:00,16.1,89
2025-01-04T17:00:00,16,90
2025-01-04T18:00:00,16.1,91
2025-01-04T19:00:00,15,92
2025-01-04T20:00:00,15,93
2025-01-04T21:00:00,15,94
2025-01-04T22:00:00,14.1,95
2025-01-04T23:00:00,14,96
2025-01-05T00:00:00,14.1,97
2025-01-05T01:00:00,14,98
2025-01-05T02:00:00,13.1,99
2025-01-05T03:00:00,13.1,100
2025-01-05T04:00:00,13,101
2025-01-05T05:00:00,13,102
2025-01-05T06:00:00,13,103
2025-01-05T07:00:00,13,104
2025-01-05T08:00:00,14,105
2025-01-05T09:00:00,14,106
2025-01-05T10:00:00,14,107
2025-01-05T11:00:00,14,108
2025-01-05T12:00:00,14,109
2025-01-05T13:00:00,14,110
2025-01-05T14:00:00,13.1,111
2025-01-05T15:00:00,14,112
2025-01-05T16:00:00,13.1,113
2025-01-05T17:00:00,14,114
2025-01-05T18:00:00,14,115
2025-01-05T19:00:00,14,116
2025-01-05T20:00:00,14,117
2025-01-05T21:00:00,13.1,118
2025-01-05T22:00:00,14,119
2025-01-05T23:00:00,14,120
2025-01-06T00:00:00,13.1,121
2025-01-06T01:00:00,14,122
2025-01-06T02:00:00,14,123
2025-01-06T03:00:00,14,124
2025-01-06T04:00:00,14,125
2025-01-06T05:00:00,14,126
2025-01-06T06:00:00,14,127
2025-01-06T07:00:00,14,128
2025-01-06T08:00:00,14,129
2025-01-06T09:00:00,14,130
2025-01-06T10:00:00,14,131
2025-01-06T11:00:00,13.1,132
2025-01-06T12:00:00,13.1,133
2025-01-06T13:00:00,14,134
2025-01-06T14:00:00,14,135
2025-01-06T15:00:00,14,136
2025-01-06T16:00:00,14.1,137
2025-01-06T17:00:00,15,138
2025-01-06T18:00:00,15,139
2025-01-06T19:00:00,14.1,140
2025-01-06T20:00:00,14,141
2025-01-06T21:00:00,14,142
2025-01-06T22:00:00,14,143
2025-01-06T23:00:00,14,144
2025-01-07T00:00:00,14.1,145
2025-01-07T01:00:00,14.1,146
2025-01-07T02:00:00,14,147
2025-01-07T03:00:00,14,148
2025-01-07T04:00:00,14,149
2025-01-07T05:00:00,14,150
2025-01-07T06:00:00,14,151
2025-01-07T07:00:00,14,152
2025-01-07T08:00:00,14,153
2025-01-07T09:00:00,14,154
2025-01-07T10:00:00,15,155
2025-01-07T11:00:00,16,156
2025-01-07T12:00:00,16,157
2025-01-07T13:00:00,17,158
2025-01-07T14:00:00,17,159
2025-01-07T15:00:00,18,160
2025-01-07T16:00:00,18.1,161
2025-01-07T17:00:00,20,162
2025-01-07T18:00:00,20,163
2025-01-07T19:00:00,18.1,164
2025-01-07T20:00:00,18,165
2025-01-07T21:00:00,17,166
2025-01-07T22:00:00,17,167
2025-01-07T23:00:00,17,168
2025-01-08T00:00:00,17,169
2025-01-08T01:00:00,17,170
2025-01-08T02:00:00,16.1,171
2025-01-08T03:00:00,16,172
2025-01-08T04:00:00,16.1,173
2025-01-08T05:00:00,16,174
2025-01-08T06:00:00,15.1,175
2025-01-08T07:00:00,15,176
2025-01-08T08:00:00,15,177
2025-01-08T09:00:00,14.1,178
2025-01-08T10:00:00,14,179
2025-01-08T11:00:00,13.1,180
2025-01-08T12:00:00,13.1,181
2025-01-08T13:00:00,13.1,182
2025-01-08T14:00:00,13.1,183
2025-01-08T15:00:00,13.1,184
2025-01-08T16:00:00,13.1,185
2025-01-08T17:00:00,14.1,186
2025-01-08T18:00:00,15,187
2025-01-08T19:00:00,14.1,188
2025-01-08T20:00:00,14,189
2025-01-08T21:00:00,14,190
2025-01-08T22:00:00,14,191
2025-01-08T23:00:00,13.1,192
2025-01-09T00:00:00,13.1,193
2025-01-09T01:00:00,13,194
2025-01-09T02:00:00,13,195
2025-01-09T03:00:00,13,196
2025-01-09T04:00:00,13,197
2025-01-09T05:00:00,13,198
2025-01-09T06:00:00,13,199
2025-01-09T07:00:00,13.1,200
2025-01-09T08:00:00,14.1,201
2025-01-09T09:00:00,15,202
2025-01-09T10:00:00,16,203
2025-01-09T11:00:00,17,204
2025-01-09T12:00:00,17.1,205
2025-01-09T13:00:00,17.1,206
2025-01-09T14:00:00,18,207
2025-01-09T15:00:00,18,208
2025-01-09T16:00:00,18,209
2025-01-09T17:00:00,18,210
2025-01-09T18:00:00,17,211
2025-01-09T19:00:00,16.1,212
2025-01-09T20:00:00,16,213
2025-01-09T21:00:00,15,214
2025-01-09T22:00:00,15,215
2025-01-09T23:00:00,14.1,216
2025-01-10T00:00:00,14,217
2025-01-10T01:00:00,14,218
2025-01-10T02:00:00,14,219
2025-01-10T03:00:00,13.1,220
2025-01-10T04:00:00,13,221
2025-01-10T05:00:00,13,222
2025-01-10T06:00:00,12,223
2025-01-10T07:00:00,13,224
2025-01-10T08:00:00,14,225
2025-01-10T09:00:00,15,226
2025-01-10T10:00:00,16,227
2025-01-10T11:00:00,16,228
2025-01-10T12:00:00,16.1,229
2025-01-10T13:00:00,16.1,230
2025-01-10T14:00:00,17,231
2025-01-10T15:00:00,17,232
2025-01-10T16:00:00,17,233
2025-01-10T17:00:00,16.1,234
2025-01-10T18:00:00,16.1,235
2025-01-10T19:00:00,16.1,236
2025-01-10T20:00:00,16,237
2025-01-10T21:00:00,15,238
2025-01-10T22:00:00,14,239
2025-01-10T23:00:00,14,240
2025-01-11T00:00:00,14,241
2025-01-11T01:00:00,14,242
2025-01-11T02:00:00,14.1,243
2025-01-11T03:00:00,15,244
2025-01-11T04:00:00,15,245
2025-01-11T05:00:00,15,246
2025-01-11T06:00:00,15,247
2025-01-11T07:00:00,14,248
2025-01-11T08:00:00,15,249
2025-01-11T09:00:00,15.1,250
2025-01-11T10:00:00,16,251
2025-01-11T11:00:00,17,252
2025-01-11T12:00:00,18,253
2025-01-11T13:00:00,17.1,254
2025-01-11T14:00:00,17.1,255
2025-01-11T15:00:00,17,256
2025-01-11T16:00:00,17,257
2025-01-11T17:00:00,16,258
2025-01-11T18:00:00,15.1,259
2025-01-11T19:00:00,15,260
2025-01-11T20:00:00,15,261
2025-01-11T21:00:00,14.1,262
2025-01-11T22:00:00,14,263
2025-01-11T23:00:00,14,264
2025-01-12T00:00:00,14,265
2025-01-12T01:00:00,14,266
2025-01-12T02:00:00,14,267
2025-01-12T03:00:00,14,268
2025-01-12T04:00:00,14,269
2025-01-12T05:00:00,13,270
2025-01-12T06:00:00,12,271
2025-01-12T07:00:00,13,272
2025-01-12T08:00:00,13,273
2025-01-12T09:00:00,13,274
2025-01-12T10:00:00,13.1,275
2025-01-12T11:00:00,13,276
2025-01-12T12:00:00,13.1,277
2025-01-12T13:00:00,14.1,278
2025-01-12T14:00:00,16,279
2025-01-12T15:00:00,16,280
2025-01-12T16:00:00,16,281
2025-01-12T17:00:00,14.1,282
2025-01-12T18:00:00,15,283
2025-01-12T19:00:00,14.1,284
2025-01-12T20:00:00,14.1,285
2025-01-12T21:00:00,14,286
2025-01-12T22:00:00,14,287
2025-01-12T23:00:00,14,288
2025-01-13T00:00:00,14,289
2025-01-13T01:00:00,14,290
2025-01-13T02:00:00,13.1,291
2025-01-13T03:00:00,13.1,292
2025-01-13T04:00:00,14,293
2025-01-13T05:00:00,13.1,294
2025-01-13T06:00:00,13.1,295
2025-01-13T07:00:00,13.1,296
2025-01-13T08:00:00,14,297
2025-01-13T09:00:00,14,298
2025-01-13T10:00:00,14,299
2025-01-13T11:00:00,14,300
2025-01-13T12:00:00,14.1,301
2025-01-13T13:00:00,16,302
2025-01-13T14:00:00,16,303
2025-01-13T15:00:00,16,304
2025-01-13T16:00:00,17,305
2025-01-13T17:00:00,15.1,306
2025-01-13T18:00:00,15,307
2025-01-13T19:00:00,15,308
2025-01-13T20:00:00,14.1,309
2025-01-13T21:00:00,14,310
2025-01-13T22:00:00,14,311
2025-01-13T23:00:00,14,312
2025-01-14T00:00:00,14,313
2025-01-14T01:00:00,14,314
2025-01-14T02:00:00,14,315
2025-01-14T03:00:00,14,316
2025-01-14T04:00:00,13.1,317
2025-01-14T05:00:00,13.1,318
2025-01-14T06:00:00,14,319
2025-01-14T07:00:00,13.1,320
2025-01-14T08:00:00,15,321
2025-01-14T09:00:00,15,322
2025-01-14T10:00:00,15,323
2025-01-14T11:00:00,16,324
2025-01-14T12:00:00,16,325
2025-01-14T13:00:00,16,326
2025-01-14T14:00:00,16.1,327
2025-01-14T15:00:00,16.1,328
2025-01-14T16:00:00,16,329
2025-01-14T17:00:00,16,330
2025-01-14T18:00:00,15,331
2025-01-14T19:00:00,15,332
2025-01-14T20:00:00,15,333
2025-01-14T21:00:00,14.1,334
2025-01-14T22:00:00,14,335
2025-01-14T23:00:00,14,336
2025-01-15T00:00:00,14,337
2025-01-15T01:00:00,14,338
2025-01-15T02:00:00,14,339
2025-01-15T03:00:00,14,340
2025-01-15T04:00:00,14,341
2025-01-15T05:00:00,14,342
2025-01-15T06:00:00,14,343
2025-01-15T07:00:00,13.1,344
2025-01-15T08:00:00,13,345
2025-01-15T09:00:00,14,346
2025-01-15T10:00:00,15,347
2025-01-15T11:00:00,16,348
2025-01-15T12:00:00,17,349
2025-01-15T13:00:00,17,350
2025-01-15T14:00:00,17,351
2025-01-15T15:00:00,16.1,352
2025-01-15T16:00:00,17,353
2025-01-15T17:00:00,17,354
2025-01-15T18:00:00,16,355
2025-01-15T19:00:00,16,356
2025-01-15T20:00:00,15,357
2025-01-15T21:00:00,14,358
2025-01-15T22:00:00,14,359
2025-01-15T23:00:00,14,360
2025-01-16T00:00:00,14,361
2025-01-16T01:00:00,14,362
2025-01-16T02:00:00,14,363
2025-01-16T03:00:00,14,364
2025-01-16T04:00:00,14,365
2025-01-16T05:00:00,14,366
2025-01-16T06:00:00,14,367
2025-01-16T07:00:00,14,368
2025-01-16T08:00:00,15,369
2025-01-16T09:00:00,15,370
2025-01-16T10:00:00,15.1,371
2025-01-16T11:00:00,16,372
2025-01-16T12:00:00,16.1,373
2025-01-16T13:00:00,16.1,374
2025-01-16T14:00:00,16.1,375
2025-01-16T15:00:00,17,376
2025-01-16T16:00:00,17.1,377
2025-01-16T17:00:00,17.1,378
2025-01-16T18:00:00,17,379
2025-01-16T19:00:00,16,380
2025-01-16T20:00:00,16,381
2025-01-16T21:00:00,15.1,382
2025-01-16T22:00:00,15,383
2025-01-16T23:00:00,14,384
2025-01-17T00:00:00,15,385
2025-01-17T01:00:00,14,386
2025-01-17T02:00:00,13,387
2025-01-17T03:00:00,12,388
2025-01-17T04:00:00,12,389
2025-01-17T05:00:00,11,390
2025-01-17T06:00:00,11,391
2025-01-17T07:00:00,12,392
2025-01-17T08:00:00,15,393
2025-01-17T09:00:00,16,394
2025-01-17T10:00:00,17,395
2025-01-17T11:00:00,18,396
2025-01-17T12:00:00,17.1,397
2025-01-17T13:00:00,18.1,398
2025-01-17T14:00:00,18.1,399
2025-01-17T15:00:00,19.1,400
2025-01-17T16:00:00,19.9,401
2025-01-17T17:00:00,19.1,402
2025-01-17T18:00:00,19,403
2025-01-17T19:00:00,18,404
2025-01-17T20:00:00,17.1,405
2025-01-17T21:00:00,17,406
2025-01-17T22:00:00,16.1,407
2025-01-17T23:00:00,16,408
2025-01-18T00:00:00,16,409
2025-01-18T01:00:00,15.1,410
2025-01-18T02:00:00,15,411
2025-01-18T03:00:00,14.1,412
2025-01-18T04:00:00,14,413
2025-01-18T05:00:00,14,414
2025-01-18T06:00:00,14,415
2025-01-18T07:00:00,15,416
2025-01-18T08:00:00,15,417
2025-01-18T09:00:00,16,418
2025-01-18T10:00:00,17,419
2025-01-18T11:00:00,17,420
2025-01-18T12:00:00,18,421
2025-01-18T13:00:00,18,422
2025-01-18T14:00:00,19,423
2025-01-18T15:00:00,18.1,424
2025-01-18T16:00:00,19.1,425
2025-01-18T17:00:00,19,426
2025-01-18T18:00:00,19,427
2025-01-18T19:00:00,19,428
2025-01-18T20:00:00,19,429
2025-01-18T21:00:00,17,430
2025-01-18T22:00:00,17,431
2025-01-18T23:00:00,16,432
2025-01-19T00:00:00,16,433
2025-01-19T01:00:00,15,434
2025-01-19T02:00:00,14,435
2025-01-19T03:00:00,14,436
2025-01-19T04:00:00,13,437
2025-01-19T05:00:00,14,438
2025-01-19T06:00:00,15,439
2025-01-19T07:00:00,15,440
2025-01-19T08:00:00,15,441
2025-01-19T09:00:00,16,442
2025-01-19T10:00:00,16.1,443
2025-01-19T11:00:00,17.1,444
2025-01-19T12:00:00,18,445
2025-01-19T13:00:00,17.1,446
2025-01-19T14:00:00,18,447
2025-01-19T15:00:00,19.1,448
2025-01-19T16:00:00,19,449
2025-01-19T17:00:00,17.1,450
2025-01-19T18:00:00,19,451
2025-01-19T19:00:00,19,452
2025-01-19T20:00:00,17,453
2025-01-19T21:00:00,16,454
2025-01-19T22:00:00,15.1,455
2025-01-19T23:00:00,15,456
2025-01-20T00:00:00,15,457
2025-01-20T01:00:00,14.1,458
2025-01-20T02:00:00,14.1,459
2025-01-20T03:00:00,15,460
2025-01-20T04:00:00,14.1,461
2025-01-20T05:00:00,15,462
2025-01-20T06:00:00,15,463
2025-01-20T07:00:00,15,464
2025-01-20T08:00:00,15.1,465
2025-01-20T09:00:00,16,466
2025-01-20T10:00:00,17,467
2025-01-20T11:00:00,17.1,468
2025-01-20T12:00:00,18,469
2025-01-20T13:00:00,17.1,470
2025-01-20T14:00:00,18.1,471
2025-01-20T15:00:00,18.1,472
2025-01-20T16:00:00,18,473
2025-01-20T17:00:00,18,474
2025-01-20T18:00:00,17.1,475
2025-01-20T19:00:00,17,476
2025-01-20T20:00:00,17,477
2025-01-20T21:00:00,16,478
2025-01-20T22:00:00,16,479
2025-01-20T23:00:00,16,480
2025-01-21T00:00:00,14.1,481
2025-01-21T01:00:00,13.1,482
2025-01-21T02:00:00,13,483
2025-01-21T03:00:00,12.1,484
2025-01-21T04:00:00,12.9,485
2025-01-21T05:00:00,12,486
2025-01-21T06:00:00,11,487
2025-01-21T07:00:00,13,488
2025-01-21T08:00:00,15,489
2025-01-21T09:00:00,16.1,490
2025-01-21T10:00:00,19,491
2025-01-21T11:00:00,17.1,492
2025-01-21T12:00:00,17.9,493
2025-01-21T13:00:00,19,494
2025-01-21T14:00:00,20,495
2025-01-21T15:00:00,19,496
2025-01-21T16:00:00,19.1,497
2025-01-21T17:00:00,20.1,498
2025-01-21T18:00:00,21,499
2025-01-21T19:00:00,21,500
2025-01-21T20:00:00,20,501
2025-01-21T21:00:00,17,502
2025-01-21T22:00:00,16.1,503
2025-01-21T23:00:00,17.1,504
2025-01-22T00:00:00,17,505
2025-01-22T01:00:00,16,506
2025-01-22T02:00:00,16,507
2025-01-22T03:00:00,15,508
2025-01-22T04:00:00,15,509
2025-01-22T05:00:00,16,510
2025-01-22T06:00:00,16,511
2025-01-22T07:00:00,17,512
2025-01-22T08:00:00,17,513
2025-01-22T09:00:00,17,514
2025-01-22T10:00:00,18,515
2025-01-22T11:00:00,19,516
2025-01-22T12:00:00,19.1,517
2025-01-22T13:00:00,20,518
2025-01-22T14:00:00,20,519
2025-01-22T15:00:00,21,520
2025-01-22T16:00:00,21.9,521
2025-01-22T17:00:00,22,522
2025-01-22T18:00:00,23,523
2025-01-22T19:00:00,22,524
2025-01-22T20:00:00,21,525
2025-01-22T21:00:00,21,526
2025-01-22T22:00:00,20,527
2025-01-22T23:00:00,18,528
2025-01-23T00:00:00,18,529
2025-01-23T01:00:00,18,530
2025-01-23T02:00:00,17,531
2025-01-23T03:00:00,16.1,532
2025-01-23T04:00:00,16,533
2025-01-23T05:00:00,16,534
2025-01-23T06:00:00,16,535
2025-01-23T07:00:00,16,536
2025-01-23T08:00:00,18,537
2025-01-23T09:00:00,19,538
2025-01-23T10:00:00,21,539
2025-01-23T11:00:00,22,540
2025-01-23T12:00:00,23,541
2025-01-23T13:00:00,24,542
2025-01-23T14:00:00,23,543
2025-01-23T15:00:00,23.1,544
2025-01-23T16:00:00,23,545
2025-01-23T17:00:00,23,546
